day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
128	162.75	147.57137575700355	177.92862424299645	0.09326343620888759	528.5	306.9864102803224	750.0135897196776	0.4191364043891723	9308.875	9073.781485880765	9543.968514119235	0.02525477183002613
129	160.625	146.90240815548952	174.34759184451048	0.08543247840940374	490.375	285.95417572379756	694.7958242762024	0.4168663253147132	9349.125	9132.645917845643	9565.604082154357	0.023155009923854688
130	158.875	146.07009711057373	171.67990288942627	0.08059734312778151	458.125	264.12684020996323	652.1231597900368	0.4234611946303667	9383.125	9178.469532550214	9587.780467449786	0.021811013649481004
131	156.625	145.2759031878465	167.9740968121535	0.07246031484216132	428.875	247.65277724309593	610.0972227569041	0.4225525450467014	9414.5	9223.77874220177	9605.22125779823	0.020258246088292613
132	154.625	143.76302744346054	165.48697255653946	0.07024719519184774	403.0	233.40070292906455	572.5992970709354	0.4208419282157207	9442.375	9264.207452009066	9620.542547990934	0.018868933715398238
133	152.25	141.38256039534795	163.11743960465205	0.07137891365945508	378.375	220.59382366183493	536.1561763381651	0.41699683207972266	9469.375	9304.064552727998	9634.685447272002	0.01745737678273414
134	150.375	141.15876674847962	159.59123325152038	0.06128833417469912	357.0	206.45858217365782	507.5414178263422	0.42168464377126663	9492.625	9335.767166114807	9649.482833885193	0.016524178916284344
135	149.125	139.91273370583613	158.33726629416387	0.06177546550990029	332.75	194.60340727238105	470.89659272761895	0.4151663192415295	9518.125	9373.846468875241	9662.403531124759	0.015158293374457489
136	147.625	139.17861544897363	156.07138455102637	0.057215136670796744	309.625	180.5466455975915	438.70335440240854	0.4168860860796399	9542.75	9408.563976687981	9676.936023312019	0.014061567505385647
137	146.25	138.32322201344056	154.17677798655944	0.05420019136109029	288.625	168.2347910739333	409.0152089260667	0.4171163583406382	9565.125	9440.317732404714	9689.932267595286	0.01304815855467502
